Stock,Date,Price,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_upper,BB_lower,BB_middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support,Resistance,Volume,Volume_SMA_20,Volume_Spike,52_Week_High,52_Week_Low,52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change_Pct,1w_Change_Pct,1m_Change_Pct,Stoch_K,Stoch_D,Williams_%R,CMF
63MOONS.NS,2025-03-07,756.0999755859375,55.13157375603268,-8.295467551250567,-19.41649962884016,11.121032077589593,Bullish,769.4149975585938,545.5936114501953,Bullish,732.8826872967819,572.9638963641214,Bullish,791.3834872062224,607.7815091316683,699.5824981689453,Middle,13.2552155256124,42.86313159231183,759.1698863267335,Sell,613.9500122070312,949.5999755859375,411558,201078.85,True,,,False,False,False,False,4.347226202226673,9.389462128578074,-0.2506628514594378,72.95424666319703,62.68649378534692,-17.409821768759905,-0.22443434485486394
A2ZINFRA.NS,2025-03-07,17.3799991607666,45.40018103223916,-1.0645303593172777,-1.1517656872624094,0.08723532794513167,Bullish,20.385600128173827,19.25745006084442,Bullish,19.003367401896774,18.544316069141143,Bullish,20.867938339467404,14.54206188941443,17.705000114440917,Middle,17.883392796551075,1.1374995366947762,20.049632044907963,Sell,15.270000457763672,26.6200008392334,299811,213089.15,False,,,False,False,False,False,1.6374197254421796,10.349201020740328,-17.66935737441858,44.894441394220216,31.190284115006637,-43.20988744483749,-0.16306436812935676
AAATECH.NS,2025-03-07,82.76000213623047,39.18242122134589,-4.472249147609247,-4.64657948326919,0.17433033565994283,Bullish,94.1884001159668,111.36125106811524,Bearish,93.16391217993466,106.1184117351892,Bearish,97.50150866117102,73.6794903317489,85.59049949645996,Middle,29.716359216919425,5.136087466829087,100.11358531197092,Sell,77.88999938964844,106.66000366210938,6783,19553.75,False,,,False,False,False,False,1.6957543983629808,4.958787238775475,-18.66338856390126,30.92038157408187,20.813776041088172,-55.54043968343456,-0.38248320130123475
AAREYDRUGS.NS,2025-03-07,40.599998474121094,41.11722681867186,-2.755355057702303,-2.9655446781033943,0.21018962040109113,Bullish,48.02199996948242,55.23924995422363,Bearish,46.744222582446795,52.05347466447278,Bearish,49.69031010757204,34.39669016708617,42.043500137329104,Middle,33.67449724003526,3.000654900718701,49.36339327970104,Sell,36.81999969482422,59.61000061035156,13024,20672.6,False,,,False,False,False,False,1.7798924425576734,9.051837156381382,-15.802576842968652,39.52707164228573,25.825770607523264,-44.254866884872534,-0.2538881348644983
AARTECH.NS,2025-03-07,63.02000045776367,47.01915021525625,-2.7260127728906554,-3.031647981831079,0.30563520894042373,Bullish,70.94719940185547,70.92337383270264,Bullish,67.50349146317826,69.42298619423161,Bearish,69.13470534486986,56.62329254941725,62.87899894714356,Middle,30.104411316574456,3.341158121821989,69.94141284479223,Sell,56.54999923706055,100.37999725341797,12936,16314.75,False,,,False,False,False,False,3.14239285039557,7.0130771114275126,-6.912845940091328,43.825788899335805,29.562658639182725,-42.01929721218437,0.05222543528042229
AARVEEDEN.NS,2025-03-07,147.5800018310547,57.47687597294793,2.4243523682157218,3.933060505788176,-1.5087081375724543,Bearish,135.01760009765624,70.25770015716553,Bullish,130.6643114075308,79.37647572021143,Bullish,159.00454584728794,130.30245488513395,144.65350036621095,Middle,30.967763597505108,6.714205533467546,163.0637522648934,Sell,111.94000244140625,156.44000244140625,88988,70513.55,False,,,False,False,False,False,4.9122085391729575,2.1526964657531122,13.74181258655467,39.27403893189716,21.578098284387618,-36.25815567836599,0.15265736508121808
AARON.NS,2025-03-07,354.75,53.89889389002906,-0.14836236259748148,-2.2386557172203636,2.090293354622882,Bullish,351.37799865722656,299.32970458984374,Bullish,344.2279455464387,305.2012280503619,Bullish,371.3310447771642,313.35895156072644,342.3449981689453,Middle,15.279403856430799,20.347574196881357,306.7938727819994,Buy,313.04998779296875,380.25,8748,12547.1,False,,,False,False,False,False,1.954300202444803,1.93965517241379,-6.5832784726794,52.61806042976675,49.27221293609619,-40.960281912314855,-0.1847751123967079
ABINFRA.NS,2025-03-07,90.94999694824219,59.08999772519485,-1.2785278784093919,-2.024939982954278,0.7464121045448859,Bullish,88.56539962768555,79.30719980239869,Bullish,87.33876397395424,78.18005618810929,Bullish,93.98945357393308,75.94154541898683,84.96549949645996,Middle,18.465362842172297,7.938033069820638,107.59072281722615,Sell,79.72000122070312,98.22000122070312,194566,166886.6,False,,,False,False,False,False,8.922152033822982,8.791864363964464,-2.288359304803811,72.53456076544948,57.44123758521611,-4.129422345326105,-0.042180832383545364
ABMINTLLTD.NS,2025-03-07,50.9900016784668,42.62682701623746,-3.863336619591948,-3.9683628608638704,0.1050262412719225,Bullish,59.99040008544922,64.81090000152588,Bearish,58.095597166019175,62.69011564878618,Bearish,62.77936179030344,42.30363915574148,52.54150047302246,Middle,30.972956864015597,2.8516710823514577,55.221185926159855,Sell,45.02000045776367,69.25,347,609.65,False,,,False,False,True,False,4.103720202155592,8.282016379786693,-19.536054066728003,40.94557052624585,25.537386160567944,-37.868469349064995,-0.14381391955402237
ACCURACY.NS,2025-03-07,9.0,53.259593587544146,-0.26057926167294276,-0.34357057139369274,0.08299130972074997,Bullish,9.393799953460693,10.453949975967408,Bearish,9.205859588274214,9.994285677228362,Bearish,9.33144848737598,7.8525515278828095,8.592000007629395,Middle,41.482010894040066,0.5003173346686136,9.659743653766572,Sell,7.949999809265137,11.180000305175781,165325,177052.7,False,,,False,False,False,False,4.046247363062827,13.207549885864967,-5.063286555002266,77.6694149405669,63.7129989350326,-6.542071068333433,-0.03819311117400689
ACE.NS,2025-03-07,1136.300048828125,45.25117496584714,-48.555648442806614,-48.38073934359809,-0.17490909920852715,Bearish,1266.8540063476562,1340.5244744873046,Bearish,1229.1667771827786,1329.0519178435495,Bearish,1295.863863399402,1024.761173221692,1160.312518310547,Middle,26.218852165447053,64.1301501445476,1267.4962828574076,Sell,1026.5,1559.800048828125,393864,397361.45,False,,,False,False,False,False,2.9630367855731476,8.188136342177144,-8.848061039466037,54.119692560333725,47.47745333688015,-38.31734945019329,0.06987911784721934
ADANIENSOL.NS,2025-03-07,747.5999755859375,58.668674847602446,-13.24290169326298,-22.599214573587798,9.356312880324818,Bullish,744.9500024414062,921.9962484741211,Bearish,740.3724235725325,897.3577140221506,Bearish,777.6687574691356,622.1312547378956,699.9000061035156,Middle,22.108383637888426,32.97817227299988,760.1187430183702,Sell,646.6500244140625,826.25,2622387,2058926.25,False,,,False,False,False,False,1.9570372432236693,14.856344683490196,-3.3046689544488195,76.36808306707728,48.36342043549708,-5.504629232130354,0.014028031586368117
ADL.NS,2025-03-07,68.04000091552734,37.234799648731716,-5.320698245468904,-4.970044645684833,-0.35065359978407074,Bearish,83.96720001220703,94.05985012054444,Bearish,81.57870110895395,89.86001110123632,Bearish,87.3174580118858,61.435541866043884,74.37649993896484,Middle,28.00477072697779,5.436227279731055,87.36719932843455,Sell,62.22999954223633,99.37999725341797,1867,1780.85,False,,,False,False,False,False,1.810562698369389,1.340484858594837,-22.23999895368304,24.689480675025333,18.672584685616275,-75.22558820354025,-0.38216799779201577
AEROFLEX.NS,2025-03-07,176.4199981689453,39.92965770026798,-14.54915007967358,-12.309278179416788,-2.2398719002567926,Bearish,211.1949984741211,184.73948776245118,Bullish,203.64764634011695,183.55685170956764,Bullish,242.12512983010362,146.9618666298573,194.54349822998046,Middle,24.25013226697556,14.742106613897212,223.42622388350952,Sell,162.1999969482422,264.2099914550781,1138566,1590375.25,False,,,False,False,False,False,2.9048038127747366,2.7190673472752946,-32.11220938015976,28.657260211382674,19.80509114513702,-58.970393459421864,-0.21185990019722925
