Stock,Date,Price,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_upper,BB_lower,BB_middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support,Resistance,Volume,Volume_SMA_20,Volume_Spike,52_Week_High,52_Week_Low,52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change_Pct,1w_Change_Pct,1m_Change_Pct,Stoch_K,Stoch_D,Williams_%R,CMF
5PAISA.NS,2025-03-10,349.1000061035156,39.843532107971335,-15.343974002104858,-16.98693362107965,1.6429596189747926,Bullish,398.20400085449216,480.45874923706054,Bearish,394.118053102271,465.8625178762303,Bearish,390.7145061007521,329.4604908474901,360.0874984741211,Middle,46.83422469268929,17.707822987381917,405.8694570502265,Sell,327.6000061035156,482.20001220703125,11492,24808.7,False,,,False,False,False,False,-2.4042509952552304,5.516094805296756,-12.385494940799191,43.69297714097661,34.711041590666206,-62.801926194645134,-0.21681480206644252
3MINDIA.NS,2025-03-10,27454.849609375,47.93039585424158,-390.587850183867,-601.5598826003204,210.97203241645343,Bullish,28618.3240625,33333.29244140625,Bearish,28537.340866933955,31598.04253865226,Bearish,28286.07451237625,25894.950682936247,27090.51259765625,Middle,26.314486255110435,873.8858313242621,29175.27538828711,Sell,25982.5,30958.05078125,1136,6960.9,False,,,False,False,False,False,-0.9683232671073627,4.486808068318893,-2.529179776602264,71.17468454989111,67.12162092825149,-37.4511551477814,0.027560405924626035
3IINFOLTD.NS,2025-03-10,23.850000381469727,38.57298532974425,-1.1022521961270613,-1.0616118949917037,-0.04064030113535755,Bearish,27.389000053405763,31.476849956512453,Bearish,26.76043033896721,31.678710148036448,Bearish,28.3726055325874,22.20639494043506,25.28950023651123,Middle,22.20294660902007,1.3008334434547462,28.61541884033999,Sell,22.93000030517578,33.66999816894531,276530,617725.0,False,,,False,False,False,False,-2.4539892136902886,4.012211356518303,-19.642856683830235,37.9562735002782,32.67197938509489,-69.17806757676536,-0.28350027954879903
AADHARHFC.NS,2025-03-10,420.8999938964844,63.79510290845982,2.9711669208646185,-2.4651569262932944,5.436323847157913,Bullish,397.0910009765625,417.53200027465823,Bearish,398.41872756786523,414.9078222407013,Bearish,415.91396353231215,361.1010328055784,388.5074981689453,Upper,22.67180781826489,17.166179394100258,431.95503508203046,Sell,364.1499938964844,428.20001220703125,133076,580873.75,False,,,False,False,False,False,-1.359273059437538,11.511453247912694,4.923345456935602,86.74608368691968,82.65043227598709,-21.352794969213264,0.23664019761781635
AARTECH.NS,2025-03-10,62.849998474121094,46.63338646115297,-2.402717692209748,-2.9058618902418414,0.5031441980320932,Bullish,70.60119934082032,70.87303718566895,Bearish,67.32102324657129,69.35656577023012,Bearish,68.53910448796103,56.75689313166788,62.64799880981445,Middle,28.868768283781886,3.309646662607994,69.94141284478857,Sell,56.54999923706055,100.37999725341797,4918,15966.9,False,,,False,False,False,False,-0.2697587788126343,8.98214057507143,-6.847491719274467,53.82946773112051,41.82338518866796,-40.21909139752851,0.04754161030895471
AARTISURF.NS,2025-03-10,450.1499938964844,38.570524691793445,-33.87882122610057,-37.5800896205225,3.7012683944219305,Bullish,551.8550024414062,656.7500009155274,Bearish,535.3065267746247,625.2771947434741,Bearish,560.1247708551743,385.2202364690444,472.67250366210936,Middle,47.07825173711084,26.524189524841233,524.837272747471,Sell,410.3500061035156,655.2000122070312,4199,14021.55,False,,,False,False,False,False,-2.607100387775274,9.699034288043551,-26.39195439754043,50.78601372654179,39.62914685742571,-50.33523689129322,-0.3903142292115732
AAREYDRUGS.NS,2025-03-10,38.5099983215332,35.64140160185616,-2.675838558895073,-2.9076034514959366,0.23176489260086353,Bullish,47.65999992370605,55.180299949646,Bearish,46.42132080292025,51.94609922112069,Bearish,48.4060379318052,34.559962052936015,41.48299999237061,Middle,32.89574352090943,3.029893825490536,49.36339327970022,Sell,36.81999969482422,59.61000061035156,3126,20240.7,False,,,False,False,False,False,-5.14778382053408,4.448059227444623,-22.54626432813147,41.9429563691889,35.19397021786369,-67.66400457236973,-0.26338783166785734
AARTIDRUGS.NS,2025-03-10,368.45001220703125,42.18294917250582,-12.756081577655664,-13.548060700426028,0.7919791227703641,Bullish,405.82105224609376,478.7901989746094,Bearish,401.1458873040259,459.76024428924484,Bearish,411.67758008998396,343.81742113071914,377.74750061035155,Middle,14.585534128849657,16.12920358444917,415.79157290935063,Sell,344.75,460.7591857910156,36326,140033.2,False,,,False,False,False,False,-0.7140915798705683,6.874550313859684,-11.494109293544808,52.850718870597916,41.50410696654709,-39.84898920773611,-0.027897994787925654
ABFRL.NS,2025-03-10,240.33999633789062,35.296080659535534,-7.870113677597345,-7.845350090002283,-0.024763587595062475,Bearish,264.7006005859375,303.1993995666504,Bearish,263.8447845959597,283.95591578800327,Bearish,263.0783797980752,235.0446213005576,249.0615005493164,Middle,41.1662326611233,9.108942751117214,276.4511989789401,Sell,239.57000732421875,286.0,980261,2155555.3,False,,,False,False,False,False,-0.8130086420502503,0.12498044498785443,-12.793907469066346,36.995623760508515,37.100515792686814,-67.65655000652389,-0.05704210835908871
ABB.NS,2025-03-10,5259.5498046875,43.20473216177264,-166.4622139614894,-220.42099112653807,53.95877716504867,Bullish,5843.150986328125,7338.392409667968,Bearish,5813.773167897643,6852.618235770218,Bearish,5573.562821790745,4990.15705125613,5281.859936523438,Middle,30.726305388470973,213.20946339452536,5933.216930450149,Sell,4935.39990234375,6928.4501953125,146185,655499.55,False,,,False,False,False,False,-1.2578498738721744,3.365564266520593,-7.495936249615265,68.59197916666666,66.44460538629112,-40.87203125,-0.1693999823638065
ACCURACY.NS,2025-03-10,8.880000114440918,51.07597678411689,-0.21384309308844252,-0.3176250738578198,0.10378198076937728,Bullish,9.367599964141846,10.453349976539611,Bearish,9.193072101400391,9.979425850252078,Bearish,9.199457591682991,7.925542408317009,8.5625,Middle,39.38448893485525,0.5017232038888876,9.659743653766496,Sell,7.949999809265137,11.180000305175781,52767,166781.7,False,,,False,False,True,False,-1.3333320617675781,10.72318712706224,-6.230202069181168,85.18253131495759,75.41666069295604,-21.66664944754433,-0.09631421498836551
ACE.NS,2025-03-10,1113.9000244140625,42.959980582216765,-45.809947404745344,-47.866581001497195,2.056633596751851,Bullish,1258.716005859375,1338.6043432617187,Bearish,1224.6469465977925,1326.3944641514875,Bearish,1281.723270423425,1024.2267661976687,1152.9750183105468,Middle,25.757739813614503,62.656567947572675,1267.496282857311,Sell,1026.5,1559.800048828125,100708,393427.9,False,,,False,False,False,False,-1.9713124572302676,8.514371594160973,-11.640819986356476,56.50601586810902,52.801266622891546,-44.630772557505594,0.046222102495389196
ABSLAMC.NS,2025-03-10,611.1500244140625,35.04370639748131,-23.407227202675017,-24.053134779149765,0.6459075764747482,Bullish,696.3209997558594,715.8518710327148,Bearish,683.815261605098,674.4243091873373,Bullish,680.5609117297628,596.9090772839091,638.734994506836,Middle,28.813766309509624,24.36342602568705,706.5743620381718,Sell,605.5,836.75,92681,284513.8,False,,,False,False,False,False,-1.3558168903900047,0.13108034080888675,-12.178473491412545,25.476805382428676,23.736726801057,-80.28603008941192,-0.12334177316903949
ACI.NS,2025-03-10,529.0499877929688,52.82588032346288,-5.394305480696289,-17.13556422339427,11.74125874269798,Bullish,555.1749981689453,657.2109403991699,Bearish,548.4220583240589,627.3654642003519,Bearish,565.5882658766436,409.33673717511425,487.4625015258789,Middle,23.191303839495248,31.0797435879145,552.0520437402313,Sell,417.20001220703125,669.5499877929688,98883,1127161.8,False,,,False,False,False,False,-0.4984059344032232,5.588264780393426,-6.088575358025627,89.02093234684935,92.422494906635,-15.052168680781165,0.13382222188254922
ACL.NS,2025-03-10,60.65999984741211,40.05206456012315,-2.9227012549011917,-3.2203147524698683,0.2976134975686766,Bullish,70.42820007324218,85.03240013122559,Bearish,68.93431595644304,81.7310881897241,Bearish,68.24560375375636,56.927396581936996,62.58650016784668,Middle,24.4041882507095,3.6991675814010616,75.51352410871085,Sell,57.400001525878906,85.7300033569336,6638,32647.6,False,,,False,False,False,False,-0.8013109832211929,5.679439433574629,-13.675817923356226,41.22222900390625,37.992598922164355,-62.266667683919266,-0.27586723509175326
ACLGATI.NS,2025-03-10,61.720001220703125,35.87156250327872,-3.355404047172115,-3.4828983526927013,0.12749430552058616,Bullish,73.55260002136231,93.53719980239867,Bearish,73.00198222691799,90.10645165054592,Bearish,72.31351039145046,59.141490295195055,65.72750034332276,Middle,35.774170527274265,3.330863798738177,75.52194998565652,Sell,60.5099983215332,91.38999938964844,141099,337806.55,False,,,False,False,False,False,-2.248967663401835,1.9996743228124059,-18.229996720007403,35.07681520505681,33.407337447408224,-71.90152254313958,-0.18386049311413505
ADORWELD.NS,2025-03-10,894.9000244140625,43.13421841868819,-28.712213098546613,-39.16857846680508,10.456365368258467,Bullish,992.5509985351563,1228.5602502441407,Bearish,978.781904172003,1189.7999145285455,Bearish,928.6134399174398,843.5365600825603,886.075,Middle,26.964010787217358,36.09561321182824,1011.5072334529532,Sell,857.75,1147.699951171875,4684,25152.15,False,,,False,False,False,False,-1.4155853027747134,3.5344535999338955,-8.2247926551001,74.15858783790999,66.27523951545781,-33.99883570162208,-0.09780324980049437
ADFFOODS.NS,2025-03-10,234.35000610351562,40.344361684081534,-7.333684976670554,-8.768218115504904,1.4345331388343503,Bullish,260.14020263671875,265.09048774719236,Bearish,258.76489140182537,253.93074433046317,Bullish,256.17985563951294,222.82114533704956,239.50050048828126,Middle,25.626215205978564,12.964506870036523,283.18423989651785,Sell,220.8000030517578,295.95001220703125,36270,137591.95,False,,,False,False,False,False,-1.5129190548002436,0.48882953425199993,-12.22846213351475,62.16576888545442,60.79808073275647,-46.90796577980021,0.1905538885287977
ADROITINFO.NS,2025-03-10,16.290000915527344,46.58049720212465,-0.31141433795018614,-0.4569238215087381,0.14550948355855198,Bullish,17.62520002365112,19.08630002498627,Bearish,17.512838954794898,18.54078605331966,Bearish,17.810723826679258,14.413276055065126,16.11199994087219,Middle,19.438198072458075,1.4193970937766007,19.01324796600801,Sell,14.3100004196167,20.8700008392334,2883,24117.55,False,,,False,False,False,False,-1.6897935090749328,5.164629801356235,-3.609459862555775,60.65758967834799,58.93800995526237,-45.238084425463235,0.06680340293303687
ADSL.NS,2025-03-10,201.2899932861328,37.90117372577432,-11.391656113829782,-9.991470773404963,-1.4001853404248195,Bearish,232.15859893798827,235.9389904022217,Bearish,230.84937363524145,220.28685783231194,Bullish,259.759054921504,181.0149425760546,220.3869987487793,Middle,32.34112534926093,13.72575709115633,252.53160369345864,Sell,190.4600067138672,275.3599853515625,154473,436959.15,False,,,False,False,False,False,-3.0581805635625514,5.686226079229217,-25.797175714860266,38.838550846099956,34.70565309989547,-64.61922660180075,-0.1847574786369829
ADVENZYMES.NS,2025-03-10,288.8500061035156,43.564361329975995,-13.01843779254591,-15.016682008890886,1.9982442163449754,Bullish,320.53900024414065,396.1460304260254,Bearish,319.14370445903876,372.5083986897232,Bearish,325.5057910960592,257.62921256605017,291.5675018310547,Middle,37.74156184419658,12.003304358283634,312.0864214083139,Sell,259.8500061035156,358.5,77540,345066.55,False,,,False,False,False,False,-0.396549619477371,7.961135967992994,-12.839465472730094,59.699638235277554,47.37846928949602,-32.64416978262458,-0.2180159237395917
AETHER.NS,2025-03-10,896.9000244140625,61.86371035882357,21.522827856111235,6.261979419865351,15.260848436245883,Bullish,840.8200048828126,873.9480001831055,Bearish,842.6621515250478,857.779019033959,Bearish,945.951269984739,700.4837397808859,823.2175048828125,Middle,29.712173539079178,38.535448121334895,741.2391923482298,Buy,746.6500244140625,918.0499877929688,34726,102180.95,False,,,False,False,False,False,-1.731126063509325,0.10603406374101176,4.097034566896185,86.99739753318102,88.8511806008848,-17.284582551403393,0.404498106960382
AGARIND.NS,2025-03-10,1025.0,53.9116084954534,-28.530910461275084,-48.46221956016705,19.931309098891965,Bullish,1083.812999267578,1135.1273068237306,Bearish,1049.2878279558824,1073.1888467780727,Bearish,1082.0263318574503,836.0586718046591,959.0425018310547,Middle,35.501551219930086,50.90929763623496,1064.7141962771777,Sell,875.7000122070312,1293.4000244140625,5898,33694.9,False,,,False,False,False,False,-0.9853121766793316,17.022487890176574,-6.443955563998616,91.71016905897238,72.12221067657906,-10.91599367227396,0.10407862602366631
AGI.NS,2025-03-10,701.5999755859375,43.23666453502207,-38.964530356143655,-53.074216481811234,14.10968612566758,Bullish,841.4790026855469,880.0697143554687,Bearish,807.6281410531965,843.9094560797558,Bearish,746.3689640435801,637.8910213079824,692.1299926757813,Middle,40.16762878711161,42.631942341907546,798.2910498472651,Sell,630.25,1120.550048828125,58303,235249.4,False,,,False,False,False,False,-1.8947141670346501,11.320900529303856,-5.3299151668126825,73.3848418012217,67.56814127418063,-33.99873292155904,0.06686921140812596
AGSTRA.NS,2025-03-10,14.649999618530273,6.607835529338851,-8.804668319657239,-8.92199170064566,0.11732338098842199,Bullish,44.8046000289917,76.72894995689393,Bearish,41.257915188841615,67.66463157059884,Bearish,39.68379580875114,10.2782042751722,24.98100004196167,Middle,71.40458376962209,1.6120397488879352,19.996536583759884,Sell,14.649999618530273,68.5199966430664,55171,86400.1,False,,,False,False,False,False,-5.055091841986981,-22.772798372127657,-64.31181512592079,0.0,0.0,-100.0,0.0
AGROPHOS.NS,2025-03-10,30.799999237060547,39.533061474593175,-1.9975182743228714,-1.877584228171336,-0.11993404615153547,Bearish,36.275599822998046,42.39690008163452,Bearish,35.58376471739244,40.86186945418054,Bearish,38.648434574993516,27.37056490620766,33.00949974060059,Middle,30.670056835026976,2.1266981158473124,37.61571615018012,Sell,27.709999084472656,41.58000183105469,24815,39007.4,False,,,False,False,False,False,-0.5810210065703147,11.151209868929147,-18.38898286368118,38.48146509241175,29.725443174822562,-60.00001695421007,-0.28187401498683745
