Stock,Date,Price,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_upper,BB_lower,BB_middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support,Resistance,Volume,Volume_SMA_20,Volume_Spike,52_Week_High,52_Week_Low,52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change_Pct,1w_Change_Pct,1m_Change_Pct,Stoch_K,Stoch_D,Williams_%R,CMF
63MOONS.NS,2025-03-07,756.0999755859375,55.13157375603268,-8.295467551250567,-19.41649962884016,11.121032077589593,Bullish,769.4149975585938,545.5936114501953,Bullish,732.8826872967819,572.9638963641214,Bullish,791.3834872062224,607.7815091316683,699.5824981689453,Middle,13.2552155256124,42.86313159231183,759.1698863267335,Sell,613.9500122070312,949.5999755859375,411558,201078.85,True,,,False,False,False,False,4.347226202226673,9.389462128578074,-0.2506628514594378,72.95424666319703,62.68649378534692,-17.409821768759905,-0.22443434485486394
AGSTRA.NS,2025-03-07,15.430000305175781,6.894531731745094,-8.926242705791811,-8.951322560796763,0.025079855004952023,Bullish,45.786600036621095,77.01944995880127,Bearish,42.34399772155901,68.1321672562307,Bearish,41.7767629003029,10.825237145473464,26.301000022888182,Middle,70.20894488339272,1.6760427576668155,21.023929961376474,Sell,15.430000305175781,68.5199966430664,246017,88370.8,True,,,False,False,False,False,-5.046151968149037,-22.73409696685712,-64.2989359801671,0.0,0.0,-100.0,0.0
AKG.NS,2025-03-07,14.239999771118164,37.99219636597242,-0.9736271057293173,-0.8947122127216569,-0.07891489300766041,Bearish,16.716200065612792,19.81220003128052,Bearish,16.343637614101787,19.033323998901473,Bearish,17.712397682226232,12.576602256738612,15.144499969482421,Middle,37.616184789970205,1.1258195387721561,17.25269769871837,Sell,12.640000343322754,18.450000762939453,86612,31224.05,True,,,False,False,False,False,3.9416056158470214,-1.4532874804076057,-18.721464617268513,39.001766300312944,28.36893061069497,-51.537079911185835,-0.1751157949418124
AKI.NS,2025-03-07,8.979999542236328,31.608726565071297,-0.7146731622836935,-0.6627095839930781,-0.051963578290615375,Bearish,10.798800010681152,18.436600017547608,Bearish,11.20516251870749,16.910583469565278,Bearish,12.09723813670038,7.870761798449767,9.983999967575073,Middle,41.953710983572336,0.3179255362492865,9.678927362808691,Sell,8.579999923706055,12.84000015258789,246392,36967.4,True,,,False,False,False,False,0.672639746964121,0.4474268873658316,-26.333061104552048,20.720715732819617,12.326000799356455,-73.14816163890636,0.012331135000025318
AMBICAAGAR.NS,2025-03-07,29.81999969482422,55.76238456821702,-0.5873331909472874,-0.7573711373106287,0.17003794636334124,Bullish,29.55279998779297,28.783150005340577,Bullish,29.06534793723328,28.808553564847635,Bullish,33.00913570041048,24.12286426907194,28.56599998474121,Middle,15.703776802349008,2.5801456770652136,35.78154461814483,Sell,25.56999969482422,33.93000030517578,116566,42472.75,True,,,False,False,False,False,7.614582028383765,15.22411384012159,-12.113175872045634,47.97255671818571,34.84931145559876,-25.45732030869975,-0.21879151577151443
ANSALAPI.NS,2025-03-07,4.980000019073486,14.08912725600702,-0.9353362461083998,-0.7699976141283631,-0.16533863198003673,Bearish,8.617999992370606,10.226300015449524,Bearish,8.238222306912686,9.745447352766325,Bearish,8.994747747944718,5.0622521261702715,7.028499937057495,Lower,49.61095775508458,0.38022420708966725,6.522066715868844,Sell,4.980000019073486,10.930000305175781,160781,53436.75,True,,,False,False,False,True,-5.14285677955264,-23.029363515234802,-40.85510719774924,0.0,0.0,-100.0,-0.21571849269078014
APTECHT.NS,2025-03-07,131.77999877929688,48.367070482500175,-8.98103249186542,-11.186775620441528,2.205743128576108,Bullish,151.8870001220703,193.70980026245118,Bearish,146.3951510710477,188.0358974361216,Bearish,152.9031866537718,101.92881255277119,127.41599960327149,Middle,32.387813823326105,8.982725534957334,144.71143898910847,Sell,110.5,184.3300018310547,987344,371420.6,True,,,False,False,False,False,4.562405820593063,18.273201350694546,-16.726699033619663,66.70711989759346,44.567423372707076,-14.25604147857169,-0.1293794763749073
ARVEE.NS,2025-03-07,146.0,50.701138717841864,-3.3317005897728507,-4.213882227321829,0.8821816375489782,Bullish,152.55720016479492,174.43500034332274,Bearish,151.62952941011915,171.24436625616167,Bearish,155.5027179316424,128.79128002367986,142.14699897766113,Middle,15.773010054595355,6.635734585520732,159.53107781987092,Sell,127.12999725341797,176.07000732421875,1180,443.85,True,,,False,False,False,False,4.88505977071696,3.253186918015838,-2.0134228187919434,54.90047330504748,45.645409347914836,-26.455027370381746,-0.07808807640224638
ASAHIINDIA.NS,2025-03-07,632.5499877929688,45.15225158336713,-11.321805152648153,-8.089925663009392,-3.231879489638761,Bearish,664.582001953125,678.5557748413086,Bearish,663.1927215604472,657.7603976676148,Bullish,706.8372407089395,592.2677641738729,649.5525024414062,Middle,16.96105104294823,30.885554347090782,582.7322909321091,Buy,603.4500122070312,762.7000122070312,396995,167837.65,True,,,False,False,False,False,-0.2444390242306027,2.7367184102428777,-5.306888054944803,28.607410225177762,21.38625008544325,-67.97409421332301,-0.03703141043415145
ASAHISONG.NS,2025-03-07,334.0,66.22630446113281,1.3009831755582013,-6.117937447019752,7.418920622577954,Bullish,310.0099981689453,410.138143157959,Bearish,313.29531239639397,374.8666815487683,Bearish,317.81601272721457,255.70898422102766,286.7624984741211,Upper,28.63369806928473,21.819268166787015,337.6887621638907,Sell,267.45001220703125,389.54998779296875,24860,10926.1,True,,,False,False,False,False,4.407629375597355,16.45746660251024,19.22184803738145,76.61996348599763,71.34719525970905,-11.627906976744185,0.1400786418232895
ASALCBR.NS,2025-03-07,1327.699951171875,60.249050490787596,-2.3235547689118903,-12.07830489407022,9.75475012515833,Bullish,1180.2709936523438,933.0875231933594,Bullish,1162.309424777489,931.9726492837497,Bullish,1341.1071301286834,1005.3878527814728,1173.247491455078,Middle,21.55378364786576,98.49544635806787,1444.3053314769427,Sell,1028.199951171875,1456.199951171875,196234,78299.15,True,,,False,False,False,False,11.25822083500454,22.329200814244476,-6.010195800750074,77.87266295493477,56.586870743456814,-7.915351375954238,0.04318831676926982
ATLASCYCLE.NS,2025-03-07,97.08999633789062,32.07036518958363,-8.249765802150463,-6.003121949237881,-2.246643852912582,Bearish,123.58759918212891,52.72090008735657,Bullish,108.36899171019252,65.77083097414979,Bullish,138.6094029104624,87.34259675384426,112.97599983215332,Middle,43.88710172084118,4.470781418385863,108.81275278846462,Sell,69.44999694824219,172.97999572753906,41974,15111.9,True,,,False,False,True,False,-5.00000074651612,-4.990709444830344,-29.873601677155314,31.22002711177439,20.815496925699662,-72.02623386912173,0.08235770622146818
